taxa_falsos_positivos,taxa_verdadeiros_positivos,threshold
0.0,0.0,inf
0.0,0.0007987220447284345,0.9998280067829257
0.0,0.003993610223642172,0.9997796565936395
0.0,0.005591054313099041,0.9997547481242421
0.0,0.5591054313099042,0.9792873961417653
5.174671020289885e-06,0.5591054313099042,0.9792149549684022
5.174671020289885e-06,0.5910543130990416,0.9673250727929289
1.034934204057977e-05,0.5910543130990416,0.9668528315390149
1.034934204057977e-05,0.603035143769968,0.9608702074146469
1.5524013060869656e-05,0.603035143769968,0.9599912978454164
1.5524013060869656e-05,0.634185303514377,0.930172179655331
2.069868408115954e-05,0.634185303514377,0.9301624859955715
2.069868408115954e-05,0.6365814696485623,0.9296597516940545
2.5873355101449426e-05,0.6365814696485623,0.9243966142972077
2.5873355101449426e-05,0.6445686900958466,0.907664257831506
3.104802612173931e-05,0.6445686900958466,0.9031843788878714
3.104802612173931e-05,0.6493610223642172,0.897685036241955
3.62226971420292e-05,0.6493610223642172,0.8957751237541992
3.62226971420292e-05,0.65814696485623,0.8740071756411011
4.139736816231908e-05,0.65814696485623,0.8689982127876642
4.139736816231908e-05,0.6597444089456869,0.8676213079582967
4.657203918260897e-05,0.6597444089456869,0.8665655938353277
4.657203918260897e-05,0.6605431309904153,0.8662332391976764
5.174671020289885e-05,0.6605431309904153,0.8648736192932391
5.174671020289885e-05,0.6757188498402555,0.831090804649488
5.692138122318874e-05,0.6757188498402555,0.8288100909446485
5.692138122318874e-05,0.6821086261980831,0.8194607184105546
6.727072326376851e-05,0.6821086261980831,0.8152217365458093
6.727072326376851e-05,0.6845047923322684,0.8102771827542332
7.24453942840584e-05,0.6845047923322684,0.8101986260843513
7.24453942840584e-05,0.6884984025559105,0.8044324986139861
7.762006530434828e-05,0.6884984025559105,0.8025558187265424
7.762006530434828e-05,0.6900958466453674,0.7995338551814903
8.279473632463816e-05,0.6900958466453674,0.7993406404602891
8.279473632463816e-05,0.7068690095846646,0.7619824722602598
8.796940734492805e-05,0.7068690095846646,0.7619440066712257
8.796940734492805e-05,0.7124600638977636,0.7516533460037222
0.00010866809142608759,0.7124600638977636,0.7476399679898484
0.00010866809142608759,0.7212460063897763,0.7350278550727158
0.00011384276244637748,0.7212460063897763,0.7325655544861254
0.00011384276244637748,0.7276357827476039,0.7221302780970155
0.00011901743346666736,0.7276357827476039,0.7193359905212401
0.00011901743346666736,0.7356230031948882,0.7064032986707686
0.00012419210448695725,0.7356230031948882,0.7058670174773471
0.00012419210448695725,0.7428115015974441,0.6914697919792916
0.00012936677550724713,0.7428115015974441,0.6910447507110268
0.00012936677550724713,0.7436102236421726,0.6902986664413717
0.00013454144652753702,0.7436102236421726,0.6869994562521312
0.00013454144652753702,0.7492012779552716,0.6568772661985273
0.0001397161175478269,0.7492012779552716,0.6547318607543835
0.0001397161175478269,0.7539936102236422,0.6292411710389375
0.0001448907885681168,0.7539936102236422,0.6245222980898809
0.0001448907885681168,0.7659744408945687,0.5814976089981133
0.00015524013060869656,0.7659744408945687,0.576423247778809
0.00015524013060869656,0.7731629392971247,0.549213046647492
0.00016041480162898644,0.7731629392971247,0.5458349185667599
0.00016041480162898644,0.7851437699680511,0.5216674327243123
0.00016558947264927633,0.7851437699680511,0.5197276648836904
0.00016558947264927633,0.7859424920127795,0.5176954965078175
0.00017076414366956621,0.7859424920127795,0.5162766565747577
0.00017076414366956621,0.7899361022364217,0.5057532599918159
0.0001759388146898561,0.7899361022364217,0.5036025097287138
0.0001759388146898561,0.7907348242811502,0.5035711861473786
0.00018111348571014598,0.7907348242811502,0.5021765066562532
0.00018111348571014598,0.7915335463258786,0.49915306609789956
0.00018628815673043587,0.7915335463258786,0.49551555300466205
0.00018628815673043587,0.792332268370607,0.4950339357266377
0.00019146282775072575,0.792332268370607,0.48849794474273045
0.00019146282775072575,0.7939297124600639,0.4841374780714877
0.00019663749877101564,0.7939297124600639,0.48209461724193253
0.00019663749877101564,0.7971246006389776,0.4791105942119015
0.00020181216979130553,0.7971246006389776,0.4775652995832538
0.00020181216979130553,0.7987220447284346,0.4576966588404023
0.00022768552489275495,0.7987220447284346,0.43342385432331865
0.00022768552489275495,0.8043130990415336,0.4097978827817116
0.00023286019591304484,0.8043130990415336,0.40894262141457166
0.00023286019591304484,0.8059105431309904,0.3975823399756724
0.00023803486693333472,0.8059105431309904,0.39590300770607745
0.00023803486693333472,0.8075079872204473,0.39376195852866025
0.0002432095379536246,0.8075079872204473,0.38634784938465005
0.0002432095379536246,0.8083067092651757,0.38542852625070734
0.0002483842089739145,0.8083067092651757,0.3842091948449355
0.0002483842089739145,0.8091054313099042,0.3774265376838391
0.0002535588799942044,0.8091054313099042,0.3716806574821336
0.0002535588799942044,0.8099041533546326,0.37059404668010504
0.00025873355101449426,0.8099041533546326,0.3698864718418522
0.00025873355101449426,0.8115015974440895,0.36557900770861973
0.00026390822203478415,0.8115015974440895,0.3641195047959976
0.00026390822203478415,0.8123003194888179,0.3624568689104365
0.00026908289305507403,0.8123003194888179,0.3593997853606172
0.00026908289305507403,0.8138977635782748,0.3539075471290603
0.0002794322350956538,0.8138977635782748,0.352791526477273
0.0002794322350956538,0.8154952076677316,0.3503599680977475
0.0002846069061159437,0.8154952076677316,0.349747684408019
0.0002846069061159437,0.8170926517571885,0.3481909520252127
0.0002897815771362336,0.8170926517571885,0.348061671337278
0.0002897815771362336,0.8226837060702875,0.3317562111704389
0.00029495624815652346,0.8226837060702875,0.33138346858201845
0.00029495624815652346,0.8250798722044729,0.31756073604125473
0.0003104802612173931,0.8250798722044729,0.3086751926527468
0.0003104802612173931,0.8258785942492013,0.30530270878256255
0.0003208296032579729,0.8258785942492013,0.2983636081281196
0.0003208296032579729,0.8274760383386581,0.29235126354552926
0.00032600427427826277,0.8274760383386581,0.2913782925226409
0.00032600427427826277,0.8314696485623003,0.2791581742588183
0.00034152828733913243,0.8314696485623003,0.2723918048187674
0.00034152828733913243,0.8322683706070287,0.2714563953651476
0.00036222697142029197,0.8322683706070287,0.2686874431313923
0.00036222697142029197,0.8338658146964856,0.26706838335301814
0.00037257631346087174,0.8338658146964856,0.2602213383802551
0.00037257631346087174,0.8346645367412141,0.2588627976877712
0.0003829256555014515,0.8346645367412141,0.25692474343218225
0.0003829256555014515,0.8354632587859425,0.256888352101902
0.0003881003265217414,0.8354632587859425,0.2537073581631889
0.0003881003265217414,0.8362619808306709,0.2531716290631774
0.0003932749975420313,0.8362619808306709,0.25245624330529465
0.0003932749975420313,0.8370607028753994,0.2510003238788842
0.0004191483526434807,0.8370607028753994,0.2478784163541982
0.0004191483526434807,0.8394568690095847,0.2425656840251826
0.0004657203918260897,0.8394568690095847,0.2321208076933893
0.0004657203918260897,0.8402555910543131,0.23154735716197405
0.00047089506284637956,0.8402555910543131,0.22990168824059343
0.00047089506284637956,0.8410543130990416,0.22969775662669414
0.0005019430889681188,0.8410543130990416,0.2251163963217117
0.0005019430889681188,0.84185303514377,0.22399433509647565
0.0005122924310086986,0.84185303514377,0.21868623680866878
0.0005122924310086986,0.8426517571884984,0.2183608595464181
0.0005226417730492784,0.8426517571884984,0.2175615563619474
0.0005226417730492784,0.8434504792332268,0.21576533679605875
0.0005485151281507278,0.8434504792332268,0.213191955761892
0.0005485151281507278,0.8450479233226837,0.210285789191944
0.0005536897991710177,0.8450479233226837,0.20993516585356903
