conjunto,metrica,iteracao,valor
learn,Logloss,0,0.5328145879912788
learn,Logloss,1,0.42065706061760827
learn,Logloss,2,0.32932268289580874
learn,Logloss,3,0.25616371266645205
learn,Logloss,4,0.2047468733794574
learn,Logloss,5,0.15997606522911356
learn,Logloss,6,0.1287158484368635
learn,Logloss,7,0.09990206397446233
learn,Logloss,8,0.08058432545283485
learn,Logloss,9,0.06624421878745707
learn,Logloss,10,0.05429673789092508
learn,Logloss,11,0.04656991702549451
learn,Logloss,12,0.040287518046223963
learn,Logloss,13,0.03548902477343684
learn,Logloss,14,0.031691716968335316
learn,Logloss,15,0.028642362110899898
learn,Logloss,16,0.026534413584313174
learn,Logloss,17,0.02467513307566371
learn,Logloss,18,0.022744538312170225
learn,Logloss,19,0.021358528132175682
learn,Logloss,20,0.019532302920511578
learn,Logloss,21,0.018417560767604937
learn,Logloss,22,0.01726917606453841
learn,Logloss,23,0.016663225423483457
learn,Logloss,24,0.015572516111174956
learn,Logloss,25,0.015196364217172445
learn,Logloss,26,0.01439005382025282
learn,Logloss,27,0.01403155400982224
learn,Logloss,28,0.013442564890466363
learn,Logloss,29,0.013071614499550136
learn,Logloss,30,0.012768809817975532
learn,Logloss,31,0.012303443839693763
learn,Logloss,32,0.012101100561612187
learn,Logloss,33,0.011580042131465105
learn,Logloss,34,0.011380992756518988
learn,Logloss,35,0.01127125884990528
learn,Logloss,36,0.010905250352315987
learn,Logloss,37,0.010822388460509997
learn,Logloss,38,0.010515934943586458
learn,Logloss,39,0.010405863003526005
learn,Logloss,40,0.01009979808758223
learn,Logloss,41,0.010049385729119254
learn,Logloss,42,0.00987089790851521
learn,Logloss,43,0.009828784653357063
learn,Logloss,44,0.009749786952029608
learn,Logloss,45,0.009647500919468392
learn,Logloss,46,0.009470438570897997
learn,Logloss,47,0.009429914177860196
learn,Logloss,48,0.009275314156408405
learn,Logloss,49,0.009137174134036747
learn,Logloss,50,0.009024931833088152
learn,Logloss,51,0.008994180934510742
learn,Logloss,52,0.008941361694592417
learn,Logloss,53,0.008891751681104901
learn,Logloss,54,0.008778340689199108
learn,Logloss,55,0.00870536358191226
learn,Logloss,56,0.008687503300805522
learn,Logloss,57,0.008668509406564558
learn,Logloss,58,0.008643053448180204
