iter	PRAUC:type=Classic	Logloss
0	0.2307837686	0.532814588
1	0.412357432	0.4206570606
2	0.4344720417	0.3293226829
3	0.4529737774	0.2561637127
4	0.5158752534	0.2047468734
5	0.5778283941	0.1599760652
6	0.5883763152	0.1287158484
7	0.637136056	0.09990206397
8	0.6773876693	0.08058432545
9	0.7023279374	0.06624421879
10	0.7166355294	0.05429673789
11	0.7203431994	0.04656991703
12	0.7254926978	0.04028751805
13	0.7274617821	0.03548902477
14	0.7290004944	0.03169171697
15	0.7296162095	0.02864236211
16	0.7302582328	0.02653441358
17	0.732911335	0.02467513308
18	0.7378876834	0.02274453831
19	0.7452201874	0.02135852813
20	0.7548153489	0.01953230292
21	0.756844214	0.01841756077
22	0.7614999796	0.01726917606
23	0.7622410684	0.01666322542
24	0.7732679323	0.01557251611
25	0.7730150173	0.01519636422
26	0.7798330543	0.01439005382
27	0.780517013	0.01403155401
28	0.7859557313	0.01344256489
29	0.788067764	0.0130716145
30	0.7895776487	0.01276880982
31	0.7949469163	0.01230344384
32	0.7964048963	0.01210110056
33	0.8056259738	0.01158004213
34	0.8073918586	0.01138099276
35	0.8077990572	0.01127125885
36	0.8125429826	0.01090525035
37	0.8128728318	0.01082238846
38	0.818642614	0.01051593494
39	0.8188912995	0.010405863
40	0.8235548476	0.01009979809
41	0.8238642775	0.01004938573
42	0.8278230793	0.009870897909
43	0.8280310012	0.009828784653
44	0.8284755945	0.009749786952
45	0.8299064482	0.009647500919
46	0.8310687004	0.009470438571
47	0.8316738256	0.009429914178
48	0.8335863212	0.009275314156
49	0.8352932861	0.009137174134
50	0.8381296281	0.009024931833
51	0.8384767483	0.008994180935
52	0.8391340552	0.008941361695
53	0.8400497762	0.008891751681
54	0.842174866	0.008778340689
55	0.8434679233	0.008705363582
56	0.8435325321	0.008687503301
57	0.8435967645	0.008668509407
58	0.8438091745	0.008643053448
59	0.8459807268	0.008530492814
60	0.8463412054	0.00851309449
61	0.8466017291	0.008481872492
62	0.8484362063	0.008398391428
63	0.8484411221	0.008397576787
64	0.8494161449	0.008331531513
65	0.8496850871	0.008314027141
66	0.8506448272	0.008257714208
67	0.8507876448	0.008240238899
68	0.8512188589	0.008218697051
69	0.8513876451	0.008193495931
70	0.8516870257	0.008177025707
71	0.8517788429	0.008175956128
72	0.8528886488	0.008120475912
73	0.8537902869	0.008083378367
74	0.8543251231	0.008062716894
75	0.8553167688	0.008028906849
76	0.855621401	0.008011121876
