fpr,tpr,threshold
0.0,0.0,inf
0.0008124233501855119,0.027156549520766772,1.0
0.0010659822301797163,0.029552715654952075,0.9999999999999998
0.0011901743346666735,0.03274760383386582,0.9999999999999996
0.001262619728950732,0.03514376996805112,0.9999999999999993
0.0013350651232347903,0.036741214057507986,0.9999999999999991
0.0013868118334376893,0.037539936102236424,0.9999999999999989
0.0014437332146608778,0.038338658146964855,0.9999999999999987
0.0014954799248637768,0.038338658146964855,0.9999999999999984
0.0015420519640463857,0.03913738019169329,0.9999999999999982
0.0015937986742492847,0.039936102236421724,0.999999999999998
0.0016248467003710239,0.039936102236421724,0.9999999999999978
0.0016610693975130531,0.039936102236421724,0.9999999999999976
0.0016921174236347923,0.04073482428115016,0.9999999999999973
0.0017438641338376913,0.04073482428115016,0.9999999999999971
0.001759388146898561,0.04153354632587859,0.9999999999999969
0.00179561084404059,0.04233226837060703,0.9999999999999967
0.0018266588701623294,0.04233226837060703,0.9999999999999964
0.001837008212202909,0.04233226837060703,0.9999999999999962
0.001847357554243489,0.04313099041533546,0.999999999999996
0.0018628815673043587,0.04313099041533546,0.9999999999999958
0.001888754922405808,0.04313099041533546,0.9999999999999956
0.0019249776195478373,0.0439297124600639,0.9999999999999953
0.0019456763036289969,0.04472843450479233,0.9999999999999951
0.001966374987710156,0.04472843450479233,0.9999999999999949
0.001987073671791316,0.04552715654952077,0.9999999999999947
0.0019974230138318956,0.04552715654952077,0.9999999999999944
0.0020077723558724753,0.0463258785942492,0.9999999999999942
0.002033645710973925,0.0463258785942492,0.999999999999994
0.0020491697240347943,0.0463258785942492,0.9999999999999938
0.0020595190660753744,0.0463258785942492,0.9999999999999936
0.002075043079136244,0.0463258785942492,0.9999999999999933
0.0020802177501565338,0.04712460063897764,0.9999999999999929
0.002111265776278273,0.04712460063897764,0.9999999999999925
0.002121615118318853,0.04712460063897764,0.9999999999999922
0.0021267897893391427,0.04712460063897764,0.999999999999992
0.0021423138024000126,0.04712460063897764,0.9999999999999918
0.0021474884734203024,0.04712460063897764,0.9999999999999916
0.0021733618285217516,0.04712460063897764,0.9999999999999911
0.0021837111705623317,0.04792332268370607,0.9999999999999909
0.002199235183623201,0.04792332268370607,0.9999999999999907
0.0022199338677043605,0.04792332268370607,0.9999999999999902
0.0022251085387246508,0.04792332268370607,0.99999999999999
0.0022354578807652304,0.04952076677316294,0.9999999999999898
0.0022509818938261,0.04952076677316294,0.9999999999999896
0.0022561565648463898,0.04952076677316294,0.9999999999999893
0.002292379261988419,0.04952076677316294,0.9999999999999891
0.002307903275049289,0.04952076677316294,0.9999999999999887
0.0023130779460695788,0.04952076677316294,0.9999999999999885
0.0023234272881101584,0.04952076677316294,0.9999999999999882
0.0023286019591304483,0.04952076677316294,0.999999999999988
0.002349300643211608,0.04952076677316294,0.9999999999999878
0.0023648246562724775,0.04952076677316294,0.9999999999999873
0.002390698011373927,0.04952076677316294,0.9999999999999871
0.0024113966954550864,0.04952076677316294,0.9999999999999862
0.0024165713664753763,0.04952076677316294,0.9999999999999853
0.002437270050556536,0.04952076677316294,0.9999999999999849
0.002437270050556536,0.051118210862619806,0.9999999999999845
0.002442444721576826,0.051118210862619806,0.9999999999999842
0.0024527940636174055,0.051118210862619806,0.999999999999984
0.0024579687346376953,0.051118210862619806,0.9999999999999838
0.002478667418718855,0.051118210862619806,0.9999999999999836
0.0024941914317797246,0.051118210862619806,0.9999999999999827
0.002525239457901464,0.051118210862619806,0.999999999999982
0.0025355887999420437,0.051118210862619806,0.9999999999999816
0.0025459381419826233,0.051118210862619806,0.9999999999999813
0.0025562874840232034,0.051118210862619806,0.9999999999999807
0.002571811497084073,0.051118210862619806,0.9999999999999805
0.002571811497084073,0.051916932907348244,0.99999999999998
0.0025769861681043628,0.051916932907348244,0.9999999999999793
0.0025976848521855225,0.051916932907348244,0.9999999999999791
0.0026028595232058123,0.051916932907348244,0.9999999999999782
0.002618383536266682,0.051916932907348244,0.999999999999978
0.0026235582072869717,0.051916932907348244,0.9999999999999778
0.0026339075493275513,0.051916932907348244,0.9999999999999769
0.0026390822203478416,0.051916932907348244,0.9999999999999765
0.002659780904429001,0.051916932907348244,0.9999999999999756
0.0026701302464695806,0.051916932907348244,0.9999999999999749
0.0026908289305507403,0.051916932907348244,0.999999999999974
0.00270635294361161,0.051916932907348244,0.9999999999999736
0.0027115276146318997,0.051916932907348244,0.9999999999999731
0.0027218769566724798,0.051916932907348244,0.9999999999999727
0.0027270516276927696,0.051916932907348244,0.9999999999999725
0.0027374009697333493,0.051916932907348244,0.9999999999999714
0.0027684489958550887,0.051916932907348244,0.9999999999999709
0.0027787983378956683,0.051916932907348244,0.9999999999999705
0.002789147679936248,0.051916932907348244,0.9999999999999702
0.002794322350956538,0.051916932907348244,0.99999999999997
0.0027994970219768277,0.052715654952076675,0.9999999999999698
0.0028150210350376976,0.052715654952076675,0.999999999999968
0.0028460690611594366,0.052715654952076675,0.999999999999966
0.0028615930742203065,0.052715654952076675,0.9999999999999658
0.0028667677452405963,0.052715654952076675,0.9999999999999649
0.002882291758301466,0.052715654952076675,0.999999999999964
0.002892641100342046,0.052715654952076675,0.9999999999999631
0.0028978157713623358,0.052715654952076675,0.9999999999999629
0.0028978157713623358,0.05351437699680511,0.9999999999999625
0.0029029904423826256,0.05351437699680511,0.9999999999999623
0.0029133397844232052,0.05351437699680511,0.999999999999962
0.002959911823605814,0.05351437699680511,0.999999999999956
0.002970261165646394,0.05351437699680511,0.9999999999999558
0.002975435836666684,0.05351437699680511,0.9999999999999556
0.0029909598497275536,0.05351437699680511,0.9999999999999545
0.0030013091917681332,0.05351437699680511,0.9999999999999543
0.003011658533808713,0.05351437699680511,0.9999999999999529
0.003011658533808713,0.054313099041533544,0.9999999999999525
0.003022007875849293,0.054313099041533544,0.9999999999999514
0.003027182546869583,0.054313099041533544,0.9999999999999505
0.003027182546869583,0.05511182108626198,0.9999999999999496
0.0030375318889101625,0.05511182108626198,0.9999999999999494
0.003063405244011612,0.05511182108626198,0.9999999999999463
0.003068579915031902,0.05591054313099041,0.9999999999999458
0.003094453270133351,0.05591054313099041,0.9999999999999429
0.003109977283194221,0.05591054313099041,0.9999999999999427
0.0031203266252348007,0.05591054313099041,0.9999999999999423
0.0031255012962550905,0.05591054313099041,0.9999999999999414
0.0031410253093159604,0.05591054313099041,0.9999999999999407
0.00315137465135654,0.05591054313099041,0.9999999999999403
0.0031668986644174096,0.05591054313099041,0.99999999999994
0.0031875973484985693,0.05591054313099041,0.9999999999999387
0.003197946690539149,0.05591054313099041,0.9999999999999385
0.003239344058701468,0.05591054313099041,0.999999999999936
0.003239344058701468,0.05670926517571885,0.9999999999999332
0.003280741426863787,0.05670926517571885,0.9999999999999252
0.003280741426863787,0.05750798722044728,0.999999999999925
0.0033014401109449465,0.05750798722044728,0.9999999999999223
0.0033066147819652367,0.05830670926517572,0.9999999999999218
0.0033066147819652367,0.05910543130990415,0.9999999999999216
0.003327313466046396,0.05910543130990415,0.9999999999999196
0.0033376628080869757,0.05910543130990415,0.999999999999919
0.0033531868211478457,0.05910543130990415,0.9999999999999127
0.0033635361631884253,0.05910543130990415,0.9999999999999118
0.003379060176249295,0.05910543130990415,0.9999999999999107
0.003389409518289875,0.05910543130990415,0.9999999999999103
0.0034101082023710342,0.05910543130990415,0.9999999999999074
0.003420457544411614,0.05910543130990415,0.999999999999907
0.003467029583594223,0.05910543130990415,0.9999999999998992
0.003477378925634803,0.05910543130990415,0.999999999999899
0.0034929029386956724,0.05910543130990415,0.9999999999998979
0.003503252280736252,0.05910543130990415,0.9999999999998972
0.00360674570114205,0.05910543130990415,0.999999999999879
0.0036222697142029195,0.05910543130990415,0.9999999999998783
0.003632619056243499,0.05910543130990415,0.999999999999877
0.0036429683982840792,0.05910543130990415,0.9999999999998752
0.003648143069304369,0.05910543130990415,0.9999999999998748
0.003653317740324659,0.05990415335463259,0.9999999999998741
0.0036584924113449487,0.05990415335463259,0.9999999999998732
0.0036688417533855284,0.05990415335463259,0.9999999999998728
0.0036688417533855284,0.06070287539936102,0.9999999999998721
0.0036791910954261085,0.06070287539936102,0.999999999999869
0.003689540437466688,0.06070287539936102,0.9999999999998677
0.0037257631346087174,0.06070287539936102,0.9999999999998581
0.0037257631346087174,0.06150159744408946,0.999999999999857
0.003875828594197124,0.06150159744408946,0.9999999999998193
0.003886177936237704,0.06150159744408946,0.9999999999998188
0.0038913526072579937,0.06150159744408946,0.9999999999998186
0.0039017019492985734,0.06150159744408946,0.999999999999817
0.003906876620318863,0.06150159744408946,0.9999999999998159
0.003906876620318863,0.06230031948881789,0.9999999999998157
0.003912051291339153,0.06230031948881789,0.9999999999998146
0.003922400633379733,0.06230031948881789,0.9999999999998141
0.003937924646440602,0.06230031948881789,0.9999999999998099
0.003937924646440602,0.06309904153354633,0.9999999999998097
0.003943099317460892,0.06309904153354633,0.999999999999809
0.0039534486595014726,0.06309904153354633,0.9999999999998077
0.004000020698684081,0.06309904153354633,0.999999999999797
0.00402071938276524,0.06309904153354633,0.9999999999997962
0.00402071938276524,0.06389776357827476,0.999999999999795
0.00404659273786669,0.06389776357827476,0.9999999999997882
0.00404659273786669,0.06469648562300319,0.9999999999997786
0.00406211675092756,0.06469648562300319,0.9999999999997746
0.00406211675092756,0.06549520766773163,0.9999999999997722
0.004093164777049299,0.06549520766773163,0.9999999999997629
0.004098339448069589,0.06629392971246006,0.9999999999997617
0.0041035141190898785,0.06629392971246006,0.9999999999997611
0.0041035141190898785,0.0670926517571885,0.9999999999997602
0.004124212803171039,0.0670926517571885,0.9999999999997509
0.004134562145211618,0.0670926517571885,0.9999999999997473
0.0042484049076579955,0.0670926517571885,0.9999999999997167
0.004258754249698575,0.0670926517571885,0.9999999999997153
0.004263928920718865,0.0670926517571885,0.9999999999997122
0.004263928920718865,0.06789137380191693,0.999999999999712
0.0043053262888811845,0.06789137380191693,0.9999999999997031
0.0043053262888811845,0.06869009584664537,0.9999999999997027
0.004372597012144953,0.06869009584664537,0.9999999999996749
0.004382946354185533,0.06869009584664537,0.9999999999996723
0.004413994380307272,0.06869009584664537,0.9999999999996532
0.0044243437223478515,0.06869009584664537,0.9999999999996521
0.004470915761530461,0.06869009584664537,0.999999999999629
0.0044812651035710405,0.06869009584664537,0.9999999999996283
0.0046002825370377075,0.06869009584664537,0.999999999999567
0.004610631879078287,0.06869009584664537,0.999999999999563
0.004631330563159447,0.06869009584664537,0.9999999999995579
0.004641679905200027,0.06869009584664537,0.9999999999995519
0.004729649312544955,0.06869009584664537,0.999999999999512
0.004729649312544955,0.0694888178913738,0.9999999999995084
0.004734823983565245,0.0694888178913738,0.999999999999508
0.004734823983565245,0.07028753993610223,0.9999999999995077
0.004796920035808724,0.07028753993610223,0.9999999999994791
0.004796920035808724,0.07108626198083066,0.9999999999994769
0.004843492074991332,0.07108626198083066,0.9999999999994611
0.004843492074991332,0.07188498402555911,0.9999999999994591
0.004895238785194231,0.07188498402555911,0.9999999999994273
0.004895238785194231,0.07268370607028754,0.9999999999994187
0.004905588127234811,0.07268370607028754,0.9999999999994165
0.004910762798255101,0.07268370607028754,0.9999999999994162
0.0049211121402956805,0.07268370607028754,0.9999999999994145
0.00494181082437684,0.07268370607028754,0.999999999999382
0.00494181082437684,0.07348242811501597,0.9999999999993812
0.004983208192539159,0.07348242811501597,0.9999999999993301
0.004983208192539159,0.0742811501597444,0.9999999999993294
0.004993557534579739,0.0742811501597444,0.9999999999993063
0.004993557534579739,0.07507987220447285,0.999999999999305
0.005050478915802928,0.07507987220447285,0.999999999999251
0.005060828257843508,0.07507987220447285,0.9999999999992488
0.005117749639066697,0.07507987220447285,0.9999999999992082
0.005117749639066697,0.07587859424920128,0.9999999999992071
0.0051539723362087255,0.07587859424920128,0.9999999999991689
0.0051539723362087255,0.07667731629392971,0.9999999999991671
0.0051850203623304645,0.07667731629392971,0.9999999999991305
0.0051850203623304645,0.07747603833865814,0.9999999999991285
0.005309212466817422,0.07747603833865814,0.9999999999989766
0.005309212466817422,0.07907348242811502,0.9999999999989257
0.005381657861101481,0.07907348242811502,0.9999999999988471
0.0053868325321217705,0.07987220447284345,0.9999999999988449
0.005423055229263799,0.07987220447284345,0.9999999999987972
0.005423055229263799,0.08067092651757188,0.9999999999987965
0.005479976610486988,0.08067092651757188,0.9999999999987401
0.005490325952527568,0.08067092651757188,0.9999999999987368
0.005573120688852206,0.08067092651757188,0.9999999999986218
0.005573120688852206,0.08146964856230032,0.9999999999986098
0.005598994043953655,0.08146964856230032,0.9999999999985871
0.005598994043953655,0.08226837060702875,0.9999999999985858
0.005909474305171049,0.08226837060702875,0.9999999999981668
0.005909474305171049,0.08306709265175719,0.9999999999981661
0.005924998318231918,0.08306709265175719,0.999999999998149
0.005930172989252208,0.08386581469648563,0.999999999998147
0.005981919699455107,0.08386581469648563,0.9999999999980664
0.005981919699455107,0.08466453674121406,0.9999999999980644
0.0060595397647594555,0.08466453674121406,0.9999999999978875
0.0060595397647594555,0.08546325878594249,0.999999999997887
0.00630792397373337,0.08546325878594249,0.9999999999972573
0.00630792397373337,0.08626198083067092,0.9999999999972351
0.006344146670875399,0.08626198083067092,0.9999999999971019
0.006344146670875399,0.08706070287539937,0.9999999999970937
0.006406242723118878,0.08706070287539937,0.9999999999969196
0.006416592065159457,0.08706070287539937,0.9999999999969171
0.006509736143524675,0.08706070287539937,0.9999999999966551
0.006509736143524675,0.0878594249201278,0.9999999999965568
0.006799517720660909,0.0878594249201278,0.9999999999956706
0.006799517720660909,0.08865814696485623,0.9999999999956641
0.006830565746782648,0.08865814696485623,0.9999999999955755
0.006830565746782648,0.08945686900958466,0.9999999999955658
0.0068512644308638074,0.08945686900958466,0.9999999999954867
0.0068512644308638074,0.0902555910543131,0.9999999999954856
0.006882312456985547,0.0902555910543131,0.9999999999954341
0.006882312456985547,0.09105431309904154,0.9999999999954219
0.0069081858120869965,0.09105431309904154,0.9999999999953986
0.0069081858120869965,0.09185303514376997,0.9999999999953946
0.007094473968817432,0.09185303514376997,0.9999999999947082
0.007094473968817432,0.0926517571884984,0.9999999999946454
0.007156570021060911,0.0926517571884984,0.9999999999943463
0.007156570021060911,0.09345047923322684,0.9999999999942757
0.00721866607330439,0.09345047923322684,0.9999999999938489
0.00721866607330439,0.09424920127795527,0.9999999999938431
0.007441176927176855,0.09424920127795527,0.9999999999929572
0.007441176927176855,0.09584664536741214,0.9999999999928799
0.00764816376798845,0.09584664536741214,0.9999999999919511
0.00764816376798845,0.09664536741214058,0.9999999999919398
0.007798229227576857,0.09664536741214058,0.9999999999911342
0.007798229227576857,0.09744408945686901,0.9999999999911291
0.007803403898597147,0.09744408945686901,0.9999999999911269
0.007803403898597147,0.09824281150159744,0.99999999999109
0.007917246661043525,0.09824281150159744,0.9999999999903699
0.007917246661043525,0.09904153354632587,0.999999999990353
0.007963818700226133,0.09904153354632587,0.9999999999900133
0.007963818700226133,0.09984025559105432,0.9999999999899711
0.00804661343655077,0.09984025559105432,0.9999999999893536
0.00804661343655077,0.10063897763578275,0.9999999999893485
0.008745194024289906,0.10063897763578275,0.9999999999829654
0.008745194024289906,0.10143769968051118,0.9999999999828801
0.0090039275753044,0.10143769968051118,0.9999999999796427
0.0090039275753044,0.10223642172523961,0.9999999999795963
0.00945412395406962,0.10223642172523961,0.9999999999738256
0.00945412395406962,0.10303514376996806,0.9999999999737796
0.009536918690394258,0.10303514376996806,0.9999999999726548
0.009536918690394258,0.10383386581469649,0.9999999999726428
0.009609364084678317,0.10383386581469649,0.9999999999713922
0.009609364084678317,0.10463258785942492,0.9999999999711644
0.009671460136921795,0.10463258785942492,0.9999999999698443
0.009671460136921795,0.10543130990415335,0.9999999999696247
0.00991984434589571,0.10543130990415335,0.9999999999640516
0.00991984434589571,0.1062300319488818,0.9999999999639728
0.009966416385078319,0.1062300319488818,0.9999999999632441
0.009966416385078319,0.10702875399361023,0.9999999999631048
0.010049211121402956,0.10702875399361023,0.9999999999604599
0.010049211121402956,0.10782747603833866,0.9999999999604414
0.010111307173646436,0.10782747603833866,0.9999999999586207
0.010111307173646436,0.10862619808306709,0.9999999999586053
0.010152704541808754,0.10862619808306709,0.9999999999566775
0.010152704541808754,0.11022364217252396,0.999999999956583
0.010214800594052232,0.11022364217252396,0.9999999999556635
0.010214800594052232,0.1110223642172524,0.9999999999554459
0.010235499278133393,0.1110223642172524,0.9999999999549476
0.010235499278133393,0.11182108626198083,0.9999999999545837
0.01034934204057977,0.11182108626198083,0.9999999999520559
0.01034934204057977,0.11261980830670927,0.9999999999520361
0.010670171643837743,0.11261980830670927,0.9999999999435962
0.010670171643837743,0.1134185303514377,0.999999999943586
0.010934079865872528,0.1134185303514377,0.9999999999351605
0.010934079865872528,0.11421725239616613,0.9999999999351048
0.010991001247095716,0.11421725239616613,0.9999999999340141
0.010991001247095716,0.11501597444089456,0.999999999933856
0.011120368022602963,0.11501597444089456,0.9999999999274902
0.011120368022602963,0.11581469648562301,0.9999999999271858
0.011229036114029051,0.11581469648562301,0.999999999923394
0.011229036114029051,0.11661341853035144,0.9999999999232023
0.011327354863414558,0.11661341853035144,0.9999999999193507
0.011327354863414558,0.11741214057507987,0.9999999999181235
0.011389450915658038,0.11741214057507987,0.9999999999160873
0.011389450915658038,0.11900958466453675,0.9999999999158604
0.011404974928718907,0.11900958466453675,0.9999999999151652
0.011404974928718907,0.11980830670926518,0.9999999999151024
0.011415324270759487,0.11980830670926518,0.9999999999141396
0.011415324270759487,0.12060702875399361,0.9999999999141063
0.011637835124631951,0.12060702875399361,0.9999999999020497
0.011637835124631951,0.12140575079872204,0.9999999999018603
0.01166888315075369,0.12140575079872204,0.9999999999000291
0.01166888315075369,0.12220447284345048,0.9999999998998488
0.01169993117687543,0.12220447284345048,0.9999999998980116
0.01169993117687543,0.12300319488817892,0.9999999998976936
0.011715455189936299,0.12300319488817892,0.9999999998974123
0.011715455189936299,0.12380191693290735,0.9999999998974092
0.011974188740950794,0.12380191693290735,0.9999999998827473
0.011974188740950794,0.12460063897763578,0.9999999998820674
0.012062158148295723,0.12460063897763578,0.9999999998750613
0.012062158148295723,0.1253993610223642,0.9999999998748754
0.012269144989107318,0.1253993610223642,0.9999999998591622
0.012269144989107318,0.12619808306709265,0.999999999858785
0.012341590383391375,0.12619808306709265,0.9999999998548386
0.012341590383391375,0.1269968051118211,0.9999999998547979
0.012450258474817464,0.1269968051118211,0.9999999998452718
0.012450258474817464,0.12779552715654952,0.9999999998446696
0.012564101237263842,0.12779552715654952,0.9999999998373661
0.012564101237263842,0.12859424920127796,0.9999999998366915
0.01259514926338558,0.12859424920127796,0.9999999998355531
0.01259514926338558,0.12939297124600638,0.9999999998355118
0.01260549860542616,0.12939297124600638,0.9999999998343632
0.01260549860542616,0.13019169329073482,0.9999999998341189
0.012879756169501523,0.13019169329073482,0.9999999998125988
0.012879756169501523,0.13099041533546327,0.9999999998121945
0.012915978866643554,0.13099041533546327,0.9999999998090126
0.012915978866643554,0.13178913738019168,0.9999999998088647
0.012936677550724713,0.13178913738019168,0.9999999998056652
0.012936677550724713,0.13258785942492013,0.9999999998054505
0.013050520313171091,0.13258785942492013,0.9999999997921201
0.013050520313171091,0.13338658146964857,0.9999999997913069
0.01308674301031312,0.13338658146964857,0.9999999997904712
0.01308674301031312,0.134185303514377,0.9999999997880804
0.013205760443779786,0.134185303514377,0.9999999997743572
