data_execucao,nome_experimento,nome_modelo,conjunto_features,parametros,tempo_treinamento_segundos,observacoes,threshold,average_precision,roc_auc,accuracy,balanced_accuracy,precision_fraude,recall_fraude,f1_fraude,verdadeiros_negativos,falsos_positivos,falsos_negativos,verdadeiros_positivos,percentual_alertado
2026-07-26T23:30:27,logistica_balanced_threshold_050,Regressão Logística,features_basicas_v1,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 500, ""solver"": ""saga"", ""threshold"": 0.5}",333.40881975,Primeira baseline de machine learning. Separação temporal 70/15/15.,0.5,0.03717856077602843,0.8172892479247214,0.8299546017758264,0.7168331692841381,0.02262226222622262,0.6022364217252396,0.043606500491585216,160673.0,32576.0,498.0,754.0,17.136158682988775
2026-07-27T00:06:53,logistica_balanced_threshold_050,Regressão Logística,features_basicas_v1,"{""C"": 1.0, ""class_weight"": ""balanced"", ""max_iter"": 500, ""solver"": ""saga"", ""threshold"": 0.5}",299.3920755,Primeira baseline de machine learning. Separação temporal 70/15/15.,0.5,0.03717856077602843,0.8172892479247214,0.8299546017758264,0.7168331692841381,0.02262226222622262,0.6022364217252396,0.043606500491585216,160673.0,32576.0,498.0,754.0,17.136158682988775
2026-07-27T00:16:55,logistica_sem_class_weight_c1_threshold_050,Regressão Logística,features_basicas_v1,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 500, ""solver"": ""saga"", ""threshold"": 0.5}",128.66605812499984,Segunda baseline de machine learning. Sem peso nas classes minoritárias,0.5,0.40217583198454826,0.8906984246863087,0.9939023449750901,0.551751343434699,0.6701030927835051,0.10383386581469649,0.1798063623789765,193185.0,64.0,1122.0,130.0,0.09974241777677235
2026-07-29T23:23:44,logistica_sem_class_weight_c1_threshold_037,Regressão Logística,features_basicas_v1,"{""C"": 1.0, ""class_weight"": null, ""max_iter"": 500, ""solver"": ""saga"", ""threshold"": 0.37}",287.5483475830006,Segunda baseline de machine learning. Sem peso nas classes minoritárias e com threshold de 37,0.5,0.40171627051844666,0.8906139890998283,0.9939074863368311,0.5521507044570632,0.6717948717948717,0.10463258785942492,0.18106427090532135,193185.0,64.0,1121.0,131.0,0.10025655395087944
